id,year_birth,income,kidhome,teenhome,dt_customer,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,acceptedcmp3,acceptedcmp4,acceptedcmp5,acceptedcmp1,acceptedcmp2,complain,z_costcontact,z_revenue,response,age,total_purchases,num_accepted_campaigns,education_Basic,education_Graduation,education_Master,education_PhD,marital_status_Alone,marital_status_Divorced,marital_status_Married,marital_status_Single,marital_status_Together,marital_status_Widow,marital_status_YOLO
7118,1957,73803.0,0,1,2012-01-08,61,833,80,363,52,26,174,2,9,5,6,6,1,0,0,0,0,0,3,11,1,68,1528,1,False,True,False,False,False,False,True,False,False,False,False
4692,1976,7500.0,1,0,2012-01-08,19,7,0,12,13,7,32,5,4,1,2,9,1,0,0,0,0,0,3,11,1,49,71,1,False,True,False,False,False,False,True,False,False,False,False
10001,1985,7500.0,1,0,2012-01-08,98,5,17,17,13,14,34,4,2,1,3,9,0,0,0,0,0,0,3,11,0,40,100,0,False,False,False,False,False,False,False,False,True,False,False
2611,1959,82576.0,0,0,2012-01-08,66,1206,55,445,168,18,18,1,2,4,12,1,0,0,1,0,0,0,3,11,0,66,1910,1,False,False,True,False,False,False,False,False,True,False,False
4070,1969,94871.0,0,2,2012-01-09,99,169,24,553,188,0,144,1,8,5,4,7,0,1,1,0,0,0,3,11,1,56,1078,2,False,False,False,True,False,False,True,False,False,False,False
4491,1949,62845.0,1,1,2012-01-10,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,0,3,11,0,76,1178,1,False,False,True,False,False,False,True,False,False,False,False
873,1949,62845.0,1,1,2012-01-10,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,0,3,11,1,76,1178,1,False,False,True,False,False,False,True,False,False,False,False
2882,1975,67893.0,0,1,2012-01-10,31,711,28,142,49,18,47,2,3,2,9,8,0,0,0,0,0,0,3,11,0,50,995,0,False,False,False,False,False,True,False,False,False,False,False
8486,1971,30538.0,1,0,2012-01-10,27,284,0,52,8,3,20,4,9,0,4,10,0,0,0,0,0,0,3,11,0,54,367,0,False,False,True,False,False,False,False,False,True,False,False
3202,1987,51563.0,0,0,2012-01-10,60,1166,0,48,0,0,36,1,4,4,10,8,0,1,1,0,0,0,3,11,0,38,1250,2,False,False,False,True,False,False,True,False,False,False,False
6055,1979,71626.0,0,0,2012-01-11,94,546,72,376,94,145,72,1,5,5,8,3,0,1,0,0,0,0,3,11,0,46,1305,1,False,True,False,False,False,False,True,False,False,False,False
9530,1988,24645.0,1,0,2012-01-11,16,5,3,4,4,1,0,1,1,0,2,8,0,0,0,0,0,0,3,11,0,37,17,0,False,True,False,False,False,False,True,False,False,False,False
5748,1965,59754.0,0,1,2012-01-12,96,115,27,44,4,146,139,3,5,2,6,5,0,0,0,0,0,0,3,11,1,60,475,0,False,True,False,False,False,False,True,False,False,False,False
2920,1975,52614.0,0,1,2012-01-12,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,3,11,0,50,990,0,False,False,False,True,False,False,False,True,False,False,False
2928,1975,52614.0,0,1,2012-01-12,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,3,11,0,50,990,0,False,False,False,True,False,False,False,True,False,False,False
5221,1957,52852.0,0,1,2012-01-12,93,714,8,99,11,0,47,4,10,7,5,8,1,0,0,0,0,0,3,11,0,68,879,1,False,True,False,False,False,False,True,False,False,False,False
5117,1963,32632.0,0,0,2012-02-08,32,63,151,137,153,19,53,2,4,4,8,5,0,0,0,0,0,0,3,11,0,62,576,0,False,False,False,False,False,False,True,False,False,False,False
7990,1947,27469.0,0,0,2012-02-08,2,9,1,2,3,2,0,1,0,0,3,6,0,0,0,0,0,0,3,11,0,78,17,0,False,True,False,False,False,False,True,False,False,False,False
8370,1976,75484.0,0,1,2012-02-08,50,378,97,259,197,194,34,2,7,3,6,4,0,0,0,0,0,0,3,11,0,49,1159,0,False,False,False,False,False,False,False,False,True,False,False
8091,1956,63943.0,0,1,2012-02-09,50,423,184,368,13,97,21,1,6,4,6,5,0,0,0,0,0,0,3,11,0,69,1106,0,False,True,False,False,False,False,True,False,False,False,False
7349,1973,9722.0,1,0,2012-02-10,7,6,17,16,6,16,42,4,3,1,3,8,0,0,0,0,0,0,3,11,1,52,103,0,True,False,False,False,False,False,False,False,True,False,False
2798,1977,102160.0,0,0,2012-02-11,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,3,11,1,48,1240,3,False,False,False,True,False,False,False,False,True,False,False
10676,1982,63211.0,0,0,2012-02-11,3,145,193,459,205,26,145,2,3,8,7,2,0,0,0,0,0,0,3,11,1,43,1173,0,False,True,False,False,False,False,True,False,False,False,False
7476,1964,63972.0,0,1,2012-02-12,93,928,63,254,0,12,12,4,5,4,10,4,0,1,0,0,0,0,3,11,0,61,1269,1,False,False,True,False,False,False,False,True,False,False,False
8805,1960,48904.0,0,1,2012-02-12,1,283,10,38,0,13,27,4,7,2,4,8,0,0,0,0,0,0,3,11,0,65,371,0,False,True,False,False,False,False,False,True,False,False,False
2223,1965,64176.0,0,1,2012-03-08,52,1215,33,249,64,116,149,8,8,9,8,6,0,0,0,0,0,0,3,11,0,60,1826,0,False,False,False,False,False,True,False,False,False,False,False
3277,1955,49431.0,0,1,2012-03-08,9,219,3,100,26,0,17,2,7,1,5,8,0,0,0,0,0,0,3,11,0,70,365,0,False,True,False,False,False,True,False,False,False,False,False
4915,1956,53230.0,0,1,2012-03-08,86,176,72,98,136,21,229,4,5,2,12,5,0,0,0,0,0,0,3,11,0,69,732,0,False,False,False,False,False,False,True,False,False,False,False
9847,1955,62972.0,0,1,2012-03-08,39,313,15,47,20,0,192,2,7,4,3,6,0,0,0,0,0,0,3,11,0,70,587,0,False,False,False,False,False,False,True,False,False,False,False
9094,1955,62972.0,0,1,2012-03-08,39,313,15,47,20,0,192,2,7,4,3,6,0,0,0,0,0,0,3,11,1,70,587,0,False,False,False,False,False,False,True,False,False,False,False
1631,1965,65220.0,0,0,2012-03-09,3,890,63,292,0,25,12,4,8,4,7,6,0,0,0,0,0,0,3,11,1,60,1282,0,False,False,False,True,False,False,False,False,True,False,False
6856,1979,21645.0,1,0,2012-03-09,75,14,0,23,4,5,19,3,3,0,3,9,0,0,0,0,0,0,3,11,1,46,65,0,False,True,False,False,False,False,False,False,True,False,False
2902,1958,51381.5,1,1,2012-03-09,87,19,4,12,2,2,6,1,1,0,3,5,0,0,0,0,0,0,3,11,0,67,45,0,False,True,False,False,False,False,False,False,True,False,False
10971,1977,37774.0,2,0,2012-03-09,28,173,8,107,7,2,176,4,7,2,3,9,1,0,0,0,0,1,3,11,1,48,473,1,False,True,False,False,False,False,False,True,False,False,False
9916,1954,38998.0,1,1,2012-03-11,92,34,1,14,0,0,5,3,2,0,3,8,0,0,0,0,0,1,3,11,0,71,54,0,False,True,False,False,False,False,True,False,False,False,False
2156,1955,22554.0,1,1,2012-03-11,38,27,0,10,0,0,4,4,2,0,4,5,0,0,0,0,0,0,3,11,0,70,41,0,False,False,False,True,False,False,True,False,False,False,False
9648,1967,46904.0,1,1,2012-03-11,20,153,4,56,0,9,31,4,5,1,4,8,0,0,0,0,0,0,3,11,0,58,253,0,False,True,False,False,False,False,False,True,False,False,False
2278,1985,33812.0,1,0,2012-03-11,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,40,133,0,False,False,False,False,False,False,False,True,False,False,False
10702,1984,52413.0,1,0,2012-03-11,67,185,8,133,56,56,12,2,7,1,7,7,0,0,0,0,0,0,3,11,0,41,450,0,False,True,False,False,False,False,False,True,False,False,False
6730,1954,38998.0,1,1,2012-03-11,92,34,1,14,0,0,5,3,2,0,3,8,0,0,0,0,0,1,3,11,0,71,54,0,False,True,False,False,False,False,True,False,False,False,False
5907,1952,33444.0,1,1,2012-03-11,24,8,0,8,0,0,2,1,1,0,2,8,0,0,0,0,0,0,3,11,0,73,18,0,False,False,True,False,False,False,True,False,False,False,False
4240,1978,17345.0,1,0,2012-03-11,79,4,9,16,17,0,12,2,2,1,2,8,0,0,0,0,0,0,3,11,0,47,58,0,False,True,False,False,False,False,True,False,False,False,False
4136,1992,7500.0,1,0,2012-03-12,63,10,17,18,8,26,40,4,3,2,2,9,0,0,0,0,0,0,3,11,0,33,119,0,True,False,False,False,False,False,False,True,False,False,False
10619,1994,95529.0,0,0,2012-03-12,29,770,29,890,250,27,24,1,7,3,7,3,0,0,1,0,0,0,3,11,1,31,1990,1,False,True,False,False,False,False,False,True,False,False,False
11112,1966,70713.0,0,1,2012-03-12,23,736,114,279,82,76,190,6,5,6,8,3,0,0,0,0,0,0,3,11,0,59,1477,0,False,True,False,False,False,False,False,False,True,False,False
